1,CDM GROSS CHARGE AND CASH PAY SECTION,ProcedureCode,ProcedureDescription,Lawson Number,NDC,Revenue Code,CPT Code,, Default Charge , ER Charge , Inpatient Therapy ,Cash Charge
43,26096367,26096367,HC SEQUENTIAL INFUSION FIRST HOUR,,,250,96367,,787,1, -   ,315
44,26096368,26096368,HC IV THERAPY-CONCURRENT MEDS,,,260,96368,,396,1, -   ,158
45,26096369,26096369,HC SQ INFUSION 1ST HR WITH PUMP,,,260,96369,,"1,150", -   , -   ,460
46,26096377,26096377,HC APPLICATION ON BODY INJECTOR- SUBQ INJ,,,260,96377,,614, -   , -   ,246
47,27100506,27100506,"HC MICROPORE 2"" TAPE-PER ROLL",,,271,,, -   , -   , -   , -   
48,27100532,27100532,SPLNT ORHT LT HND MTCRPL LG,,,271,,, -   , -   , -   , -   
49,27100754,27100754,HC UVAR XTS DISPOSABLE KIT,,,271,,,"3,216", -   , -   ,"1,286"
50,27100980,27100980,HC MASK FACE/EYE SHIELD,,,271,,, -   , -   , -   , -   
51,27101063,27101063,HC MOUTHPIECE - DISPOSABLE,,,271,,, -   , -   , -   , -   
52,27101206,27101206,HC MIDSTREAM URINE COLLECTOR,,,271,,, -   , -   , -   , -   
53,27102515,27102515,HC MEPILEX 4X4,,,271,,, -   , -   , -   , -   
54,27140172,27140172,HC OXYGEN MASK,,,271,,, -   , -   , -   , -   
55,27159401,27159401,EZPAP WITH MANOMETER,,,271,,,200, -   , -   ,80
56,27171780,27171780,HC YANKAUER SUCTION,,,271,,, -   , -   , -   , -   
57,27173570,27173570,HC WALKER,,,271,,, -   , -   , -   , -   
58,27175344,27175344,HC VAGINAL SPECULUM DISP/S;M;L,,,271,,, -   , -   , -   , -   
59,27200003,27200003,CATHETER GUIDING VISTA BRITE TIP TRUELUMEN STAINLESS STEEL NYLON PTFE LONG XBACKUP 4 CURVE L100 CM L.62 IN OD5 FR ID.056 IN PERIPHERAL HYBRID BRAID RADIOPAQUE ULTRA SOFT MULTISEGMENT LATEX FREE DISPOSABLE BLUE YELLOW,0380-01180,,272,,,313, -   , -   ,125
60,27200008,27200008,HC CARTRIDGE AQUAPHERESIS,,,272,,,"2,768", -   , -   ,"1,107"
61,27200010,27200010,HC CARTRIDGE FOR THERESIS PHERESIS,,,272,,,"2,768", -   , -   ,"1,107"
62,27200011,27200011,HC INTRA-AORTA BALL. PUMP-DAILY,,,272,,,"1,271", -   , -   ,508
63,27200014,27200014,HC ABD PAD-BOX,,,272,,,17, -   , -   ,7
64,27200015,27200015,HC PELVIC SLING,,,272,,,171, -   , -   ,68
65,27200016,27200016,CATHETER GUIDING LAUNCHER EBU5 CURVE L100 CM OD5 FR ID.058 IN CORONARY,0380-01693,,272,,,338, -   , -   ,135
66,27200020,27200020,CATHETER GUIDING LAUNCHER AR10 CURVE L100 CM OD5 FR CORONARY,0380-01528,,272,,,338, -   , -   ,135
67,27200025,27200025,CATHETER ANGIOGRAPHIC INFINITI THRULUMEN VESTAN AMPLATZ RIGHT CORONARY 2 MODIFIED CURVE L100 CM OD5 FR ID.047 IN SELECTIVE THIN WALL RADIOPAQUE TORQUE CONTROL DISPOSABLE ACCEPTS .038 IN GUIDEWIRE,0390-01251,,272,,, -   , -   , -   , -   
68,27200027,27200027,CATHETER GUIDING VISTA BRITE TIP TRUELUMEN STAINLESS STEEL NYLON PTFE LONG MULTIPURPOSE A 1 CURVE L100 CM L.62 IN OD5 FR ID.056 IN PERIPHERAL HYBRID BRAID RADIOPAQUE ULTRA SOFT MULTISEGMENT LATEX FREE DISPOSABLE BLUE YELLOW TRANSRADIAL,0380-01190,,272,,,313, -   , -   ,125
69,27200028,27200028,CATHETER GUIDING LAUNCHER RBU4 CURVE OD5 FR CORONARY,0380-02210,,272,,,338, -   , -   ,135
70,27200031,27200031,TUBING IRRIGATION CONTOUR GENESIS Y L13 IN Y EZ PUMP SET INFILTRATION STERILE DISPOSABLE,0900-11194,,272,,,167, -   , -   ,67
71,27200032,27200032,HC BILIARY BALLOON DILATOR DISP,,,272,C1726,,"1,528", -   , -   ,611
72,27200036,27200036,SHOE POSTOPERATIVE DARCO ORTHOWEDGE 6-8 7.5-10 SMALL HEALING STRAPLESS CLOSURE SHORT WEDGE HEEL LOCKING STRAP,0620-00355,,272,,,200, -   , -   ,80
73,27200040,27200040,BLADE SHAVER DYONICS BONECUTTER PLATINUM OD4.5 MM BLADE FULL RADIUS,REPR-00135,,272,,,219, -   , -   ,88
74,27200043,27200043,FORCEPS BIPOLAR LIBERTY HARDY 1.5 MM BAYONET L8.5 IN IRRIGATE DISPOSABLE,3100-06762,,272,,,281, -   , -   ,112
75,27200044,27200044,BLADE SAW L70 MM X W13.8 MM X H1.2 MM SAGITTAL,0900-11193,,272,,,288, -   , -   ,115
76,27200045,27200045,HC BLOOD & FLUID WARMER KIT,,,272,,, -   , -   , -   , -   
77,27200048,27200048,RETRACTOR/ELEVATOR LAPAROSCOPIC VCARE LARGE OD37 MM CERVIX UTERUS 2 CUP HOLE MANIPULATOR INFLATABLE BALLOON STERILE LATEX FREE DISPOSABLE HYSTERECTOMY,0900-11198,,272,,,310, -   , -   ,124
78,27200049,27200049,CABLE CATHETER CARTO 3 L10 FT 34 PIN HYPERTRONIC 12 LEMO CONNECTOR INTERFACE BLUE ELECTROPHYSIOLOGY,REPR-00131,,272,,,326, -   , -   ,130
79,27200051,27200051,BRACE ORTHOPEDIC T SCOPE PREMIER REGULAR ELBOW LEFT LIGHTWEIGHT TRIMMABLE STRAP MALLEABLE STRUT LOW PROFILE,0620-00356,,272,,,377, -   , -   ,151
80,27200052,27200052,NO FULL DESCRIPTION AVAILABLE,0900-11164,,272,,,427, -   , -   ,171
81,27200053,27200053,NO FULL DESCRIPTION AVAILABLE,0900-11165,,272,,,427, -   , -   ,171
82,27200055,27200055,NO FULL DESCRIPTION AVAILABLE,0900-11166,,272,,,503, -   , -   ,201
83,27200056,27200056,GUIDEWIRE ENDOSCOPIC MAXXWIRE METAL STRAIGHT L260 CM OD.035 IN SUPER STIFF FLEXIBILITY,2820-00209,,272,,,525, -   , -   ,210
84,27200057,27200057,ELECTRODE ELECTROSURGICAL NEEDLE 45 D OD24-28 FR HIGH FREQUENCY STERILE DISPOSABLE,0900-11195,,272,,,554, -   , -   ,222
85,27200060,27200060,HC SURGI START KIT,,,272,,,133, -   , -   ,53
86,27200068,27200068,CATHETER BALLOON DILATATION EVERCROSS CROSSTEC BEVEL 360 CROSSCOAT NYLON .035 IN L135 CM L80 MM ODSEC5 MM OTW ULTRA LOW CROSS PROFILE ROBUST SHAFT GUIDEWIRE ACCEPTS 5 FR INTRODUCER SHEATH PTA,0310-02964,,272,,,612, -   , -   ,245
87,27200074,27200074,CATH URINE FEMALE KIT (A-ER),,,272,,, -   , -   , -   , -   
88,27200075,27200075,CATHETER BALLOON DILATATION EVERCROSS CROSSTEC BEVEL 360 CROSSCOAT NYLON .035 IN L135 CM L120 MM ODSEC6 MM OTW ULTRA LOW CROSS PROFILE ROBUST DESIGN GUIDEWIRE ACCEPTS 5 FR SHEATH PTA,0310-02969,,272,,,612, -   , -   ,245
89,27200078,27200078,HC CAMINO I.C.P.-DAILY,,,272,,,308, -   , -   ,123
90,27200081,27200081,HC BRUSH BILIARY CYTOLOGY,,,272,,,868, -   , -   ,347
91,27200082,27200082,TOOL DISSECTING LEGEND MATCH HEAD L21 CM OD3 MM BURR MATCH HEAD STERILE BURR,3100-06760,,272,,,508, -   , -   ,203
92,27200083,27200083,NO FULL DESCRIPTION AVAILABLE,0900-11167,,272,,,537, -   , -   ,215
93,27200084,27200084,NEEDLE PORT HIGH FLOW VORTEX,0900-08050,,272,,,255, -   , -   ,102
94,27200085,27200085,HC PHOTOPHERESIS CELLEX KIT,,,272,,,"5,128", -   , -   ,"2,051"
95,27200087,27200087,TOOL DISSECTING MIDAS REX LEGEND L9 CM OD3 MM DIAMOND MATCH HEAD COARSE STERILE BURR,3100-06761,,272,,,551, -   , -   ,220
96,27200092,27200092,CATHETER BALLOON DILATATION ULTRAVERSE 014 ULTRA-CROSS L150 CM L8 CM ODSEC2 MM OTW STERILE DISPOSABLE PTA,0310-02990,,272,,,684, -   , -   ,274
97,27200093,27200093,CATHETER BALLOON DILATATION ULTRAVERSE 014 ULTRA-CROSS L150 CM L10 CM ODSEC2 MM OTW STERILE DISPOSABLE PTA,0310-02991,,272,,,684, -   , -   ,274
98,27200095,27200095,CATHETER BALLOON DILATATION ULTRAVERSE CHECKER ULTRA-CROSS L150 CM L15 CM OD2 MM OTW RADIOPAQUE NONPYROGENIC FEMALE LUER LOCK DISPOSABLE ACCEPTS .014 IN GUIDEWIRE 4 FR SHEATH PTA,0310-02992,,272,,,684, -   , -   ,274
99,27200097,27200097,CATHETER BALLOON DILATATION ULTRAVERSE CHECKER ULTRA-CROSS L150 CM L22 CM OD2 MM OTW RADIOPAQUE NONPYROGENIC FEMALE LUER LOCK DISPOSABLE ACCEPTS .014 IN GUIDEWIRE 4 FR SHEATH PTA,0310-02993,,272,,,684, -   , -   ,274
100,27200098,27200098,CATHETER BALLOON DILATATION ULTRAVERSE 014 ULTRA-CROSS L150 CM L4 CM ODSEC2.5 MM OTW STERILE DISPOSABLE PTA,0310-02994,,272,,,684, -   , -   ,274
101,27200100,27200100,CATHETER BALLOON DILATATION ULTRAVERSE 014 ULTRA-CROSS L150 CM L10 CM ODSEC2.5 MM OTW STERILE DISPOSABLE PTA,0310-02996,,272,,,684, -   , -   ,274
102,27200101,27200101,PACKING NASAL L5.5 CM,0900-02148,,272,,,284, -   , -   ,114
103,27200105,27200105,"HC BANDAGE NUGAUZE PL 1/2""",,,272,,,23, -   , -   ,9
104,27200107,27200107,CATHETER BALLOON DILATATION ULTRAVERSE 014 ULTRA-CROSS L150 CM L22 CM ODSEC2.5 MM OTW STERILE DISPOSABLE PTA,0310-02998,,272,,,684, -   , -   ,274
105,27200108,27200108,CATHETER BALLOON DILATATION ULTRAVERSE 014 ULTRA-CROSS L150 CM L4 CM ODSEC3 MM OTW STERILE DISPOSABLE PTA,0310-02999,,272,,,684, -   , -   ,274
106,27200109,27200109,CATHETER BALLOON DILATATION ULTRAVERSE 014 ULTRA-CROSS L150 CM L8 CM ODSEC3 MM OTW STERILE DISPOSABLE PTA,0310-03000,,272,,,684, -   , -   ,274
107,27200110,27200110,BANDAGE ACE 3X5YD,,,272,,, -   , -   , -   , -   
108,27200113,27200113,"HC BANDAGE NUGAUZE IODA 1/2""",,,272,A6403,, -   , -   , -   , -   
109,27200114,27200114,STAPLER INTERNAL 35.5CM TITANIUM HELIX 30 FASTENER FIXATION DEVICE STERILE LATEX,0710-00325,,272,,,"1,941", -   , -   ,776
110,27200116,27200116,GRASPER ENDOSCOPIC ALLIS OD3 MM SINGLE STERILE,0900-06754,,272,,,765, -   , -   ,306
111,27200118,27200118,DEVICE FIXATION SECURESTRAP L5 MM MESH 25 ABSORBABLE STRAP DISPOSABLE HERNIA REP,0710-00341,,272,,,"1,624", -   , -   ,650
112,27200121,27200121,"HC BANDAGE NUGAUZE IODA 1""",,,272,A6404,, -   , -   , -   , -   
113,27200122,27200122,HC RELOAD BLACK FOR 60MM ECHELON,,,272,,,560, -   , -   ,224
114,27200123,27200123,STAPLER INTERNAL 60MM 6 STAGGERED ROW STAPLE POWERED ARTICULATING STABILITY STER,0720-00040,,272,,,"1,320", -   , -   ,528
115,27200124,27200124,HC DISP. PULSE OXIMETER SENSOR,,,272,,,295, -   , -   ,118
116,27200126,27200126,SHEARS ELECTROSURGICAL 45CM 5MM HARMONIC ACE CURVED 2 HAND CONTROLLED POWER SETT,3100-01171,,272,,,"1,716", -   , -   ,686
117,27200127,27200127,CATHETER BALLOON DILATATION ULTRAVERSE 014 ULTRA-CROSS L150 CM L10 CM ODSEC3 MM OTW STERILE DISPOSABLE PTA,0310-03001,,272,,,684, -   , -   ,274
118,27200130,27200130,CATHETER BALLOON DILATATION ULTRAVERSE 014 ULTRA-CROSS L150 CM L22 CM ODSEC3 MM OTW STERILE DISPOSABLE PTA,0310-03003,,272,,,684, -   , -   ,274
119,27200132,27200132,CATHETER BALLOON DILATATION ULTRAVERSE 014 ULTRA-CROSS L150 CM L4 CM ODSEC3.5 MM OTW STERILE DISPOSABLE PTA,0310-03004,,272,,,684, -   , -   ,274
120,27200134,27200134,CATHETER BALLOON DILATATION ULTRAVERSE 014 ULTRA-CROSS L150 CM L10 CM ODSEC3.5 MM OTW STERILE DISPOSABLE PTA,0310-03005,,272,,,684, -   , -   ,274
121,27200139,27200139,"HC BANDAGE NUGAUZE IODA 2""",,,272,A6403,, -   , -   , -   , -   
122,27200141,27200141,CATHETER BALLOON DILATATION ULTRAVERSE 014 ULTRA-CROSS L150 CM L10 CM ODSEC4 MM OTW STERILE DISPOSABLE PTA,0310-03007,,272,,,684, -   , -   ,274
123,27200142,27200142,CATHETER BALLOON DILATATION ULTRAVERSE 014 ULTRA-CROSS L150 CM L15 CM ODSEC4 MM OTW STERILE DISPOSABLE PTA,0310-03008,,272,,,684, -   , -   ,274
124,27200144,27200144,SPLINT BASEBALL LARGE (A-ER),,,272,,, -   , -   , -   , -   
125,27200147,27200147,"HC BANDAGE NUGAUZE PL 1/4""",,,272,,, -   , -   , -   , -   
126,27200149,27200149,CATHETER BALLOON DILATATION ULTRAVERSE 014 ULTRA-CROSS L150 CM L10 CM ODSEC5 MM OTW STERILE DISPOSABLE PTA,0310-03011,,272,,,684, -   , -   ,274
127,27200152,27200152,CATHETER BALLOON DILATATION ULTRAVERSE 014 ULTRA-CROSS L150 CM L15 CM ODSEC5 MM OTW STERILE DISPOSABLE PTA,0310-03012,,272,,,684, -   , -   ,274
128,27200154,27200154,"HC BANDAGE NUGAUZE PL 1""",,,272,,, -   , -   , -   , -   
129,27200157,27200157,FOLEY CATH TRAY URIMETER 16FR,,,272,,,147, -   , -   ,59
130,27200159,27200159,DRESSING GERMICIDAL SILVERCEL ALGINATE SILVER CARBOXYMETHYLCELLULOSE NYLON FIBER,0900-07654,,272,,, -   , -   , -   , -   
131,27200170,27200170,"HC BANDAGE NUGAUZE IODA 1/4""",,,272,A6403,, -   , -   , -   , -   
132,27200171,27200171,KIT PROCEDURE VENACURE EVLT 400 UM LOW PROFILE FIBER,0900-11197,,272,,,922, -   , -   ,369
133,27200174,27200174,HC CODMAN DRAINAGE SYSTEM II,,,272,,,"1,468", -   , -   ,587
134,27200177,27200177,HC CAST BOOT,,,272,,, -   , -   , -   , -   
135,27200178,27200178,HC SUTURE SET-PLASTIC,,,272,,,328, -   , -   ,131
136,27200184,27200184,CATHETER BALLOON DILATATION NANOCROSS ELITE BEVEL 360 SLIMTEC THERMOFLEX CROSSCOAT .014 IN L150 CM L210 MM ODSEC3-2.5 MM OTW ULTRA LOW CROSS PROFILE ROBUST SHAFT GUIDEWIRE ACCEPTS 4 FR INTRODUCER SHEATH PTA,0310-02984,,272,,,975, -   , -   ,390
137,27200186,27200186,HC DISP CATH TRAY,,,272,,,340, -   , -   ,136
138,27200189,27200189,CATHETER BALLOON DILATATION NANOCROSS BEVEL 360 SLIMTEC THERMOFLEX CROSSCOAT .014 IN L150 CM L150 MM ODSEC4 MM OTW ULTRA LOW CROSS PROFILE ROBUST DESIGN GUIDEWIRE ACCEPTS 4 FR SHEATH PTA,0310-02987,,272,,,975, -   , -   ,390
139,27200191,27200191,KIT PROCEDURE NEVERTOUCH GOLD FIBER .035 IN L65 CM OD21 GA GUIDEWIRE NEEDLE STERILE DISPOSABLE,0960-00593,,272,,,"1,257", -   , -   ,503
140,27200192,27200192,MILL BONE BIOPSY MEDIUM OD5 MM COARSE BLADE LATEX FREE DISPOSABLE,0900-11192,,272,,,"1,301", -   , -   ,520
141,27200212,27200212,ELECTRODE ELECTROSURGICAL PLASMABUTTON 12 D 30 D HIGH FREQUENCY CABLE RESECTION STERILE DISPOSABLE,0900-11196,,272,,,"1,658", -   , -   ,663
142,27200213,27200213,KIT UTERINE NOVASURE ENDOMETRIUM 3 SURESOUND DEVICE ABLATION CONTROL STERILE DISPOSABLE,0960-00592,,272,,,"4,113", -   , -   ,"1,645"
143,27200219,27200219,HC TRAY POWERPICC 5F/2LUM3275108,,,272,,,"1,158", -   , -   ,463
144,27200234,27200234,HC CATHETER SPYSCOPE CHLGM ACC M00546600,,,272,,,"2,659", -   , -   ,"1,064"
145,27200240,27200240,HC CARTRIDGE CHANGE-CVVH,,,272,,,961, -   , -   ,384
146,27200246,27200246,HC CATH TRAY/NO CATH,,,272,A4310,,14, -   , -   ,6
147,27200253,27200253,HC CATH-MALE EXTERNAL LG,,,272,A4326,, -   , -   , -   , -   
148,27200273,27200273,HC BAIR HUGGER WARMING COVER,,,272,,, -   , -   , -   , -   
149,27200276,27200276,HC DISPOSABLE TRANSDUCER/ICP,,,272,,,104, -   , -   ,42
150,27200281,27200281,HC DIALYSATE CVVH(D),,,272,,,642, -   , -   ,257
151,27200282,27200282,HC TG SZ.6 8CMX20M TUBULAR BANDAGE,,,272,,,135, -   , -   ,54
152,27200287,27200287,HC CATH-STRAIGHT 10FR,,,272,A4351,, -   , -   , -   , -   
153,27200290,27200290,HC TG SZ.7 10CMX20M TUBULAR BANDAGE,,,272,,,146, -   , -   ,58
154,27200295,27200295,CATHETER URETHRAL SELF-CATH PVC MALE LONG L16 IN OD14 FR STRAIGHT TIP SELF PVC F,0300-00218,,272,A4351,, -   , -   , -   , -   
155,27200303,27200303,HC CATHETER IRRIG. TRAY,,,272,A4320,,16, -   , -   ,6
156,27200308,27200308,HC TG SZ.9 12CMX20M TUBULAR BANDAGE,,,272,,,154, -   , -   ,62
157,27200310,27200310,HC KIDNEY 9X5X1CM FOAM PADDING,,,272,,,147, -   , -   ,59
158,27200311,27200311,HC CATHETER TRAY 14FR STRAIGHT,,,272,A4354,, -   , -   , -   , -   
159,27200315,27200315,HC SENSOR SOMANETICS PEDIATRIC,,,272,,,928, -   , -   ,371
160,27200324,27200324,HC KOMPREXBINDE 8X2MX1/2CM PADDING,,,272,,,147, -   , -   ,59
161,27200329,27200329,HC CATHETER-FOLEY 16FR,,,272,A4338,,21, -   , -   ,8
162,27200332,27200332,HC CELLONA 10CMX3M COTTON PADDING,,,272,,, -   , -   , -   , -   
163,27200337,27200337,HC CATHETER-FOLEY 18FR,,,272,A4338,,21, -   , -   ,8
164,27200340,27200340,HC DURELAST 6CMX5M STRETCH BANDAGE,,,272,,, -   , -   , -   , -   
165,27200343,27200343,GW SFTJ .035IN 80CM 3MM VASC,,,272,,,156, -   , -   ,62
166,27200345,27200345,HC CATHETER-FOLEY 20FR,,,272,A4338,,21, -   , -   ,8
167,27200357,27200357,HC DURELAST 8CMX5M STRETCH BANDAGE,,,272,,, -   , -   , -   , -   
168,27200365,27200365,HC DURELAST 10CMX5M STRETCH BANDAGE,,,272,,, -   , -   , -   , -   
169,27200367,27200367,SPLINT FINGER ALUMFOAM  9X0.75,,,272,,, -   , -   , -   , -   
170,27200373,27200373,"HC LEUKOSILK 1"" TAPE",,,272,,, -   , -   , -   , -   
171,27200381,27200381,"HC COBAN 1"" WRAP-PER ROLL",,,272,,, -   , -   , -   , -   
172,27200383,27200383,HC FOREARM SPLINT,,,272,,, -   , -   , -   , -   
173,27200391,27200391,HC HOTLINE TUBING L70,,,272,,,171, -   , -   ,68
174,27200399,27200399,"HC COBAN 2"" WRAP",,,272,,, -   , -   , -   , -   
175,27200402,27200402,HC CLOSED DRAINAGE BAG,,,272,A4357,,17, -   , -   ,7
176,27200425,27200425,HC IRRIGATION TRAY,,,272,,, -   , -   , -   , -   
177,27200431,27200431,"HC SOF-KLING 4"" ROLL",,,272,,, -   , -   , -   , -   
178,27200436,27200436,HC CONTAINER NEEDLE SNALL,,,272,,, -   , -   , -   , -   
179,27200441,27200441,HC PIGTAIL CATHETER,,,272,C1887,,375, -   , -   ,150
180,27200442,27200442,HC HELIOX THERAPY TANK,,,272,,,373, -   , -   ,149
181,27200446,27200446,BIT DRILL STAINLESS STEEL L240 MM L60-150 MM OD3.5 MM QUICK CONNECT CALIBRATION NONSTERILE,2950-08001,,272,,,406, -   , -   ,162
182,27200448,27200448,BIT DRILL STAINLESS STEEL L145 MM L120 MM OD4.5 MM QUICK CONNECT NONSTERILE,2950-08003,,272,,,406, -   , -   ,162
183,27200449,27200449,HC KERLIX ROLL,,,272,,, -   , -   , -   , -   
184,27200451,27200451,HC CONTAINER NEEDLE 2 GAL,,,272,,, -   , -   , -   , -   
185,27200458,27200458,SPLINT KNEE UNIVERSAL 19 (A-E,,,272,,,174, -   , -   ,70
186,27200467,27200467,BAG ICE DISPOSE (A-ER),,,272,,, -   , -   , -   , -   
187,27200468,27200468,HC BALLARD SUCTION CATHETER-LAVAGE,,,272,,,340, -   , -   ,136
188,27200470,27200470,HC LACERATION TRAY,,,272,,, -   , -   , -   , -   
189,27200477,27200477,HC CVC DRESSING TRAY,,,272,,,25, -   , -   ,10
190,27200517,27200517,HC NEONATE FILTER SYRINGE,,,272,,, -   , -   , -   , -   
191,27200527,27200527,HC DUODERM 4X4 EXTRA THIN,,,272,A6237,,21, -   , -   ,8
192,27200541,27200541,HC CORFLO ULTRA LITE SBF 20-055,,,272,,,169, -   , -   ,68
193,27200553,27200553,HC OCL CAST/SPLINT-INCH,,,272,,, -   , -   , -   , -   
194,27200558,27200558,HC SHEATH SHORT CORDIS,,,272,,,481, -   , -   ,192
195,27200571,27200571,HC PERIFORM VAGINAL ELECTRODE,,,272,,,247, -   , -   ,99
196,27200575,27200575,SLING CRADLE ARM SMALL (P-ER),,,272,,, -   , -   , -   , -   
197,27200583,27200583,PIN HALF STAINLESS STEEL L180 MM L40 MM OD6 MM SELF DRILLING,2950-08241,,272,,,455, -   , -   ,182
198,27200586,27200586,PIN HALF STAINLESS STEEL L200 MM L60 MM OD6 MM SELF DRILLING,2950-08244,,272,,,455, -   , -   ,182
199,27200589,27200589,HC EUCERIN LOTION 4 OZ.,,,272,,, -   , -   , -   , -   
200,27200597,27200597,HC PLASTIC SUTURE,,,272,,,247, -   , -   ,99
201,27200600,27200600,HC ENEMA KIT,,,272,,, -   , -   , -   , -   
202,27200605,27200605,HC TRANSDUCER KIT,,,272,,,520, -   , -   ,208
203,27200607,27200607,HC PLEUREVAC,,,272,,,588, -   , -   ,235
204,27200610,27200610,HC JELCO/14;16;18;20;22 INSYTE,,,272,,, -   , -   , -   , -   
205,27200615,27200615,HC USCI COURNAND CATH 6 FRENCH,,,272,,,357, -   , -   ,143
206,27200634,27200634,HC FEEDING BAG ENTERAL 500CC,,,272,,, -   , -   , -   , -   
207,27200640,27200640,HC KIT TRIPLE LUMEN CVP,,,272,,,230, -   , -   ,92
208,27200641,27200641,HC YUEH NEEDLE,,,272,,,169, -   , -   ,68
209,27200657,27200657,HC SETUP A-LINE,,,272,,,250, -   , -   ,100
210,27200658,27200658,HC CHEST TUBE,,,272,,, -   , -   , -   , -   
211,27200667,27200667,HC FLEETS ENEMA OIL RETENTION,,,272,,, -   , -   , -   , -   
212,27200675,27200675,HC FLEETS ENEMA PHOSPHATE,,,272,,, -   , -   , -   , -   
213,27200687,27200687,AIR STRIP,,,272,,, -   , -   , -   , -   
214,27200690,27200690,HC SLING & SWATHE,,,272,,, -   , -   , -   , -   
215,27200701,27200701,HC IV SET #18 ADD-A-LINE,,,272,,, -   , -   , -   , -   
216,27200706,27200706,HC FLO-TRACE TRANSDUCER KIT,,,272,,,575, -   , -   ,230
217,27200709,27200709,HC TAPE DURAPORE 2 INCH,,,272,,, -   , -   , -   , -   
218,27200714,27200714,HC ENERGY PADS BOX OF 4,,,272,,,"2,979", -   , -   ,"1,192"
219,27200717,27200717,"HC TAPE MICROPORE 2""",,,272,,, -   , -   , -   , -   
220,27200722,27200722,HC ENERGY PAD UNIVERSAL EACH,,,272,,,805, -   , -   ,322
